127.0.0.1, 2016-04-04 23:14:13, GET, /init/appadmin/hooks, HTTP/1.1, 200, 0.239230
127.0.0.1, 2016-04-04 23:15:13, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.054314
127.0.0.1, 2016-04-04 23:15:13, GET, /init/appadmin/hooks, HTTP/1.1, 200, 0.208027
127.0.0.1, 2016-04-04 23:16:13, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.050006
127.0.0.1, 2016-04-04 23:16:13, GET, /init/appadmin/hooks, HTTP/1.1, 200, 0.231781
127.0.0.1, 2016-04-04 23:17:13, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.060831
127.0.0.1, 2016-04-04 23:17:13, GET, /init/appadmin/hooks, HTTP/1.1, 200, 0.189579
127.0.0.1, 2016-04-04 23:17:38, GET, /init/default/api/entries.json/f_entry=teste, HTTP/1.1, 400, 0.052690
127.0.0.1, 2016-04-04 23:17:57, GET, /init/default/api/entries.json, HTTP/1.1, 200, 0.043832
127.0.0.1, 2016-04-04 23:18:13, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.064306
127.0.0.1, 2016-04-04 23:18:13, GET, /init/appadmin/hooks, HTTP/1.1, 200, 0.197389
127.0.0.1, 2016-04-04 23:19:13, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.045366
127.0.0.1, 2016-04-04 23:19:13, GET, /init/appadmin/hooks, HTTP/1.1, 200, 0.179227
127.0.0.1, 2016-04-04 23:20:13, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.077388
127.0.0.1, 2016-04-04 23:20:13, GET, /init/appadmin/hooks, HTTP/1.1, 200, 0.219301
127.0.0.1, 2016-04-04 23:21:13, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.052155
127.0.0.1, 2016-04-04 23:21:13, GET, /init/appadmin/hooks, HTTP/1.1, 200, 0.203990
127.0.0.1, 2016-04-04 23:22:13, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.109368
127.0.0.1, 2016-04-04 23:22:13, GET, /init/appadmin/hooks, HTTP/1.1, 200, 0.211995
127.0.0.1, 2016-04-04 23:23:13, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.062645
127.0.0.1, 2016-04-04 23:23:13, GET, /init/appadmin/hooks, HTTP/1.1, 200, 0.178274
127.0.0.1, 2016-04-04 23:24:13, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.067229
127.0.0.1, 2016-04-04 23:24:13, GET, /init/appadmin/hooks, HTTP/1.1, 200, 0.185409
127.0.0.1, 2016-04-04 23:24:50, GET, /, HTTP/1.1, 200, 0.078348
127.0.0.1, 2016-04-04 23:24:53, GET, /init/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 200, 0.001180
127.0.0.1, 2016-04-04 23:24:57, GET, /init/default/user/register, HTTP/1.1, 200, 0.113401
127.0.0.1, 2016-04-04 23:25:11, POST, /init/default/user/register, HTTP/1.1, 303, 0.261429
127.0.0.1, 2016-04-04 23:25:11, GET, /init/default/index, HTTP/1.1, 200, 0.097671
127.0.0.1, 2016-04-04 23:25:13, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.054331
127.0.0.1, 2016-04-04 23:25:13, GET, /init/appadmin/hooks, HTTP/1.1, 200, 0.183778
127.0.0.1, 2016-04-04 23:26:13, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.115525
127.0.0.1, 2016-04-04 23:26:13, GET, /init/appadmin/hooks, HTTP/1.1, 200, 0.283187
127.0.0.1, 2016-04-04 23:27:13, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.074547
127.0.0.1, 2016-04-04 23:27:13, GET, /init/appadmin/hooks, HTTP/1.1, 200, 0.209427
127.0.0.1, 2016-04-04 23:27:33, GET, /init/default/user/logout, HTTP/1.1, 303, 0.209198
127.0.0.1, 2016-04-04 23:27:33, GET, /init/default/index, HTTP/1.1, 200, 0.071551
127.0.0.1, 2016-04-04 23:27:36, GET, /init/default/user/register, HTTP/1.1, 200, 0.092935
